age,year,total,women,men,tooltipText
20-24,2013,472,442,492,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
25-34,2013,708,665,744,this is a short string of text
35-44,2013,874,767,953,this is a medium-length string of text - it has more characters
45-54,2013,883,761,994,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
55-64,2013,904,779,1011,this is a short string of text
65+,2013,801,691,937,this is a medium-length string of text - it has more characters
16-19,2014,378,357,392,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
20-24,2014,491,468,507,this is a short string of text
25-34,2014,726,679,755,this is a medium-length string of text - it has more characters
35-44,2014,881,781,964,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
45-54,2014,899,780,1011,this is a short string of text
55-64,2014,911,780,1021,this is a medium-length string of text - it has more characters
65+,2014,824,740,942,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
16-19,2015,389,364,407,this is a short string of text
20-24,2015,501,468,522,this is a medium-length string of text - it has more characters
25-34,2015,735,690,770,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
35-44,2015,900,804,983,this is a short string of text
45-54,2015,923,799,1040,this is a medium-length string of text - it has more characters
55-64,2015,927,784,1064,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
65+,2015,873,740,1003,this is a short string of text
16-19,2016,405,388,419,this is a medium-length string of text - it has more characters
20-24,2016,513,500,523,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
25-34,2016,751,705,794,this is a short string of text
35-44,2016,934,839,1007,this is a medium-length string of text - it has more characters
45-54,2016,955,836,1075,"this is a really long string of text, with lots and lots of characters for testing word wrap and auto-sizing of tooltips"
55-64,2016,952,812,1102,this is a short string of text
65+,2016,866,749,992,this is a medium-length string of text - it has more characters
